0,1,2,3,4,5,6,7,8,9,10,11
0.15070921985815602,4.0,0.0,1.0,5.0,0.0,1.0,3.0,6.0,3,0,8016
0.06205673758865248,10.0,4.0,2.0,7.0,1.0,2.0,1.0,15.0,4,0,12395
0.0549645390070922,3.0,3.0,0.0,7.0,1.0,2.0,2.0,15.0,5,0,4804
0.8581560283687943,1.0,0.0,5.0,7.0,2.0,0.0,3.0,3.0,3,1,11791
0.056737588652482275,10.0,0.0,2.0,7.0,0.0,0.0,0.0,12.0,4,0,5403
0.13829787234042554,4.0,0.0,5.0,5.0,1.0,0.0,1.0,9.0,3,1,10037
0.32269503546099293,4.0,3.0,1.0,7.0,1.0,3.0,2.0,1.0,3,0,10844
0.2127659574468085,4.0,2.0,1.0,5.0,2.0,2.0,3.0,21.0,3,0,7791
0.1347517730496454,8.0,3.0,5.0,5.0,0.0,0.0,2.0,21.0,3,0,3841
0.5230496453900709,6.0,2.0,5.0,5.0,1.0,0.0,3.0,9.0,3,1,13727
0.26063829787234044,4.0,3.0,0.0,7.0,1.0,3.0,0.0,21.0,5,0,14781
0.3280141843971631,10.0,1.0,1.0,5.0,0.0,1.0,3.0,1.0,6,1,11982
0.3599290780141844,8.0,1.0,1.0,7.0,0.0,0.0,0.0,6.0,3,0,3597
0.056737588652482275,1.0,2.0,0.0,7.0,0.0,3.0,2.0,1.0,3,0,6094
0.2446808510638298,4.0,3.0,0.0,7.0,1.0,0.0,3.0,9.0,6,1,14676
0.030141843971631208,1.0,4.0,3.0,7.0,0.0,1.0,1.0,18.0,6,0,3100
0.5780141843971631,6.0,2.0,1.0,7.0,1.0,0.0,3.0,9.0,6,1,7618
0.22163120567375888,1.0,3.0,0.0,7.0,1.0,0.0,3.0,21.0,5,0,11096
0.5070921985815603,4.0,3.0,0.0,7.0,1.0,0.0,0.0,12.0,5,1,13941
0.0549645390070922,3.0,0.0,0.0,7.0,0.0,1.0,0.0,9.0,3,1,4823
0.16312056737588654,4.0,3.0,1.0,7.0,1.0,3.0,2.0,9.0,6,1,9314
0.05851063829787234,3.0,0.0,2.0,7.0,0.0,3.0,3.0,18.0,4,0,4591
0.19680851063829788,8.0,1.0,1.0,7.0,0.0,0.0,0.0,27.0,3,0,3597
0.05851063829787234,3.0,3.0,0.0,7.0,0.0,0.0,1.0,24.0,3,1,6565
0.026595744680851064,4.0,0.0,3.0,7.0,1.0,2.0,0.0,6.0,5,0,11087
0.4574468085106383,4.0,0.0,5.0,7.0,1.0,3.0,3.0,1.0,3,0,25735
0.2978723404255319,6.0,2.0,1.0,7.0,1.0,0.0,3.0,24.0,6,0,7618
0.06560283687943262,4.0,2.0,1.0,7.0,2.0,2.0,1.0,9.0,4,1,11507
0.4343971631205674,10.0,0.0,1.0,5.0,0.0,0.0,0.0,6.0,3,0,4668
0.2624113475177305,4.0,3.0,0.0,5.0,1.0,0.0,3.0,15.0,5,0,10844
0.03191489361702128,4.0,3.0,3.0,7.0,1.0,0.0,1.0,1.0,6,1,14571
0.32269503546099293,4.0,3.0,1.0,5.0,1.0,3.0,3.0,27.0,6,0,10844
0.3067375886524823,6.0,2.0,0.0,7.0,1.0,3.0,1.0,18.0,5,1,9646
0.0549645390070922,4.0,4.0,0.0,7.0,0.0,1.0,0.0,9.0,3,1,8040
0.11170212765957448,8.0,3.0,0.0,7.0,1.0,1.0,3.0,6.0,6,0,4649
0.030141843971631208,1.0,4.0,3.0,7.0,0.0,1.0,1.0,21.0,5,0,3100
0.16843971631205673,4.0,3.0,0.0,7.0,1.0,0.0,1.0,24.0,5,0,14571
0.11347517730496455,3.0,2.0,1.0,7.0,1.0,0.0,1.0,15.0,4,0,5761
0.3067375886524823,4.0,3.0,0.0,5.0,1.0,2.0,0.0,24.0,5,0,10844
0.10283687943262412,3.0,3.0,0.0,7.0,1.0,0.0,1.0,12.0,6,0,5069
0.19858156028368795,4.0,2.0,1.0,5.0,2.0,0.0,2.0,1.0,6,1,10368
0.06382978723404256,4.0,3.0,2.0,7.0,1.0,0.0,0.0,24.0,5,0,10539
0.056737588652482275,4.0,0.0,5.0,7.0,0.0,2.0,3.0,6.0,3,0,18308
0.15070921985815602,3.0,2.0,1.0,7.0,1.0,0.0,1.0,27.0,4,1,7160
0.46985815602836883,4.0,2.0,1.0,5.0,2.0,3.0,3.0,27.0,6,0,12074
0.4787234042553192,1.0,2.0,1.0,7.0,1.0,0.0,0.0,12.0,6,0,8991
0.03191489361702128,4.0,4.0,3.0,7.0,0.0,0.0,0.0,18.0,5,1,5678
0.06205673758865248,4.0,0.0,2.0,7.0,0.0,0.0,2.0,18.0,4,0,3359
0.5088652482269503,4.0,2.0,0.0,7.0,1.0,3.0,1.0,9.0,6,1,10262
0.3546099290780142,3.0,2.0,1.0,7.0,1.0,0.0,3.0,15.0,6,1,7640
0.030141843971631208,8.0,3.0,3.0,5.0,0.0,0.0,2.0,18.0,3,0,3841
0.26063829787234044,4.0,3.0,1.0,7.0,1.0,0.0,3.0,9.0,4,0,7757
0.16666666666666669,6.0,2.0,1.0,7.0,1.0,0.0,2.0,24.0,6,0,7155
0.03191489361702128,1.0,2.0,3.0,7.0,2.0,3.0,2.0,3.0,6,0,10441
0.03191489361702128,4.0,4.0,3.0,7.0,0.0,0.0,0.0,24.0,5,0,8040
0.05851063829787234,4.0,3.0,2.0,7.0,1.0,0.0,3.0,6.0,5,0,14781
0.03191489361702128,3.0,2.0,3.0,6.0,1.0,1.0,3.0,6.0,6,0,5947
0.572695035460993,3.0,2.0,1.0,7.0,0.0,0.0,0.0,12.0,6,0,4729
0.16134751773049646,6.0,2.0,1.0,7.0,1.0,0.0,2.0,15.0,6,1,9526
0.3173758865248227,3.0,2.0,1.0,7.0,1.0,0.0,3.0,9.0,4,0,6270
0.20921985815602837,4.0,3.0,0.0,7.0,1.0,0.0,1.0,24.0,3,1,13339
0.17907801418439717,4.0,4.0,1.0,7.0,1.0,3.0,3.0,18.0,5,1,5678
0.03191489361702128,4.0,2.0,3.0,6.0,1.0,3.0,3.0,9.0,5,0,10262
0.38652482269503546,4.0,3.0,0.0,7.0,1.0,1.0,0.0,12.0,6,0,13364
0.04964539007092199,3.0,1.0,4.0,7.0,0.0,0.0,0.0,3.0,3,1,7295
0.03191489361702128,1.0,4.0,3.0,7.0,0.0,1.0,1.0,27.0,6,0,3100
0.524822695035461,4.0,0.0,0.0,7.0,0.0,3.0,2.0,6.0,5,0,7229
0.2765957446808511,6.0,2.0,1.0,7.0,1.0,0.0,2.0,12.0,6,0,11789
0.5372340425531915,8.0,1.0,0.0,7.0,0.0,1.0,3.0,9.0,5,0,3384
